


As of:;Nov 07, 2024


Effective date ;S&P 500 (TR)
01/10/2015;3577.47
02/10/2015;3629.04
05/10/2015;3695.61
06/10/2015;3682.33
07/10/2015;3713.36
08/10/2015;3746.12
09/10/2015;3748.96
12/10/2015;3753.73
13/10/2015;3728.48
14/10/2015;3711.11
15/10/2015;3766.43
16/10/2015;3783.64
19/10/2015;3784.72
20/10/2015;3779.44
21/10/2015;3757.91
22/10/2015;3820.49
23/10/2015;3862.65
26/10/2015;3855.29
27/10/2015;3845.45
28/10/2015;3891.35
29/10/2015;3890.04
30/10/2015;3871.33
02/11/2015;3917.3
03/11/2015;3928.05
04/11/2015;3915.52
05/11/2015;3911.89
06/11/2015;3910.98
09/11/2015;3873.37
10/11/2015;3880.23
11/11/2015;3867.71
12/11/2015;3814.29
13/11/2015;3771.59
16/11/2015;3828.46
17/11/2015;3824.14
18/11/2015;3886.26
19/11/2015;3882.06
20/11/2015;3897.45
23/11/2015;3892.8
24/11/2015;3897.67
25/11/2015;3897.57
27/11/2015;3900.74
30/11/2015;3882.84
01/12/2015;3924.63
02/12/2015;3882.38
03/12/2015;3826.74
04/12/2015;3905.31
07/12/2015;3878.31
08/12/2015;3853.48
09/12/2015;3823.9
10/12/2015;3832.93
11/12/2015;3759.09
14/12/2015;3777.22
15/12/2015;3817.36
16/12/2015;3873.12
17/12/2015;3815.46
18/12/2015;3747.56
21/12/2015;3777.15
22/12/2015;3810.85
23/12/2015;3858.47
24/12/2015;3852.31
28/12/2015;3843.94
29/12/2015;3885.55
30/12/2015;3857.9
31/12/2015;3821.6
04/01/2016;3763.99
05/01/2016;3771.57
06/01/2016;3723.44
07/01/2016;3635.29
08/01/2016;3595.91
11/01/2016;3598.97
12/01/2016;3627.06
13/01/2016;3536.92
14/01/2016;3596.03
15/01/2016;3518.51
19/01/2016;3520.4
20/01/2016;3479.75
21/01/2016;3497.94
22/01/2016;3568.9
25/01/2016;3513.11
26/01/2016;3562.81
27/01/2016;3524.33
28/01/2016;3544.13
29/01/2016;3631.96
01/02/2016;3630.46
02/02/2016;3562.52
